"source","target","correlation","direct","cor"
"Butin","seq746",0.675824175824176,"undirected","+"
"DEOXYCARNITINE","seq1376",-0.655481034652334,"undirected","-"
"N.ACETYLMURAMIC.ACID","seq1376",-0.637782414623149,"undirected","-"
"DEOXYCARNITINE","seq1243",-0.693528670029667,"undirected","-"
"N.Acetyltyramine","seq1243",0.666160722512801,"undirected","+"
"X7..3.5.Dihydroxy.4..4.hydroxyphenyl..2.methoxyphenyl..3.methoxy.3.4.dihydrooxepine.2.5.dione","seq1080",-0.642546452056106,"undirected","-"
"Chelidonic.acid","seq1080",-0.639990324946981,"undirected","-"
"CYTOSINE","seq1282",-0.635254040333265,"undirected","-"
"Azelaic.acid..Not.validated.","seq1282",0.662434063949514,"undirected","+"
"CYTOSINE","seq1029",-0.638307745974306,"undirected","-"
"N1.Acetylspermidine","seq1029",-0.65238806390021,"undirected","-"
"X1.3.Dimethylurate","seq935",-0.715920627088921,"undirected","-"
"X1.7.Dimethyluric.acid","seq935",-0.727738604425749,"undirected","-"
"CYTOSINE","seq1668",-0.641829990480773,"undirected","-"
"Thr.Glu","seq1668",-0.649034524292904,"undirected","-"
"CYTOSINE","seq1312",-0.673632547458367,"undirected","-"
"Thr.Glu","seq1312",-0.679156641241625,"undirected","-"
"CYTOSINE","seq764",-0.639874196560681,"undirected","-"
"X1.7.Dimethyluric.acid","seq764",-0.637419043768122,"undirected","-"
"CYTOSINE","seq945",-0.686064684343249,"undirected","-"
"Thr.Glu","seq945",-0.688552679572055,"undirected","-"
"L.Kynurenine","seq1173",-0.651227208496597,"undirected","-"
"X2..4..Acetylamino.phenyl..4.quinolinecarboxylic.acid","seq1173",-0.655612576903981,"undirected","-"
"Phe.Pro","seq1704",-0.657081503208844,"undirected","-"
"PYRIDOXINE","seq1704",0.678537225762603,"undirected","+"
"X1.3.Dimethylurate","seq1588",-0.647750366395329,"undirected","-"
"X1.7.Dimethyluric.acid","seq1588",-0.639863517042712,"undirected","-"
"N.Acetyl.methionine","seq1714",0.656261837393372,"undirected","+"
